langid,terpid
20,2325
1,2528
1,1157
31,2318
1,1418
31,2326
31,2341
2,2293
1,2194
1,2187
1,2491
1,309
1,776
2,2329
1,2489
28,2344
3,2333
1,2185
5,2294
5,2302
5,2350
5,2351
6,2317
6,2328
32,2328
7,2307
8,2311
8,2334
1,852
8,2356
8,2361
9,2356
1,2157
10,2307
1,2403
10,2360
1,70
1,2427
1,1807
12,2308
1,2461
12,2332
12,2343
12,2354
12,2362
25,2331
24,2333
13,2334
14,2334
1,263
1,1374
15,2334
1,2000
1,2540
1,125
26,2333
27,2313
1,2180
27,2359
1,2054
18,2344
19,2311
26,2361
1,2558
25,2338
20,2307
2,2344
20,2345
20,2349
1,52
20,2360
20,2363
1,206
1,2379
1,504
29,2344
25,2346
22,2312
22,2318
22,2326
1,1482
23,2320
1,2560
23,2358
24,2312
26,2347
1,2005
17,2359
19,2361
17,2313
1,124
1,2147
1,2529
1,72
1,307
1,1702
1,1966
25,2336
1,2070
1,2426
1,277
1,1707
1,2122
1,2153
25,2365
1,2495
26,2311
1,1830
26,2334
1,1262
1,257
26,2352
1,273
1,285
1,2499
1,1596
1,2384
1,1758
1,534
1,2061
1,2166
1,2438
1,76
1,2585
1,517
1,2058
1,300
1,1690
1,1595
1,318
1,2089
1,1739
1,1332
1,2100
1,1877
25,2305
1,2085
1,2561
1,2516
1,2175
20,2521
1,94
1,1920
1,166
1,2502
1,2154
1,2476
1,2202
1,1907
1,1589
1,1581
1,2389
6,2482
1,1865
1,754
1,1951
1,121
1,2386
1,207
1,2292
25,2357
1,1729
1,172
1,1348
1,2190
1,1286
1,1471
1,224
1,270
1,2582
1,64
1,2400
1,2496
1,2087
1,2170
1,1171
1,280
1,1834
1,1994
1,253
1,1873
1,1978
1,2174
2,2522
1,2588
1,2053
1,1468
1,2142
1,1190
1,1980
1,1950
1,2380
1,284
4,2366
20,2523
1,100
1,1364
1,2119
1,2008
1,107
1,1993
12,2436
1,1367
1,2456
1,2186
1,36
1,1392
1,2500
1,2393
1,2547
1,1874
1,2076
1,302
1,1977
1,2378
1,2109
1,2533
1,1922
1,1723
1,1831
1,2388
20,2392
1,2105
1,2093
1,1918
1,1995
1,1938
1,239
1,2106
6,2525
1,6
1,2055
1,2567
1,1442
1,1158
1,235
12,2371
1,1246
26,2578
1,173
1,2530
3,2396
1,2407
1,2470
1,2468
1,1670
1,2098
1,2135
1,242
1,807
1,1488
1,2124
1,1633
1,304
1,2506
1,1755
1,2510
1,1215
1,82
1,2130
1,2179
1,1750
1,1634
1,2373
1,93
1,1576
1,34
1,2376
1,2071
1,2501
1,2052
1,2385
1,900
12,2525
1,1170
12,2482
1,1233
1,632
1,2508
1,568
1,2563
1,2526
1,868
1,734
1,2151
1,2405
1,1279
1,544
1,1040
1,1964
1,196
1,33
1,2431
1,1893
1,1680
1,2168
1,2387
1,2472
31,2324
24,2396
26,2396
2,2324
1,2399
1,798
1,1156
21,2324
1,2478
1,2591
1,2128
1,2156
1,2566
1,1965
1,204
1,2138
1,1039
1,1735
1,2001
1,2081
1,2148
1,2006
1,991
1,2457
1,2441
25,2439
1,2439
25,2454
1,2454
1,2458
1,721
1,2422
1,1694
1,2535
1,2473
1,149
1,1211
1,2114
1,2490
1,2505
1,2059
1,2503
1,2064
1,2504
1,1227
1,2513
25,2306
1,1818
1,2509
1,2082
1,2532
1,1869
10,2366
20,2366
1,2536
1,234
1,2537
1,2531
1,2160
1,1585
1,2548
1,2542
1,1953
1,2550
1,2553
1,1857
1,1630
1,2169
1,1283
1,1863
1,2569
1,2562
1,2571
1,2573
1,2574
1,303
1,2117
1,297
1,229
1,2118
1,2590
1,792
1,2094
1,227
1,255
1,250
1,1574
1,9
2,2299
1,2163
6,2481
1,2101
2,2295
1,1902
1,2197
1,495
1,2372
1,2155
1,1997
1,134
1,1329
1,1477
1,1798
1,1876
1,1640
15,2339
8,2339
14,2339
26,2339
1,126
1,1681
1,299
1,1967
1,1271
1,1748
23,2337
1,141
1,1597
1,1743
1,2391
1,1601
1,2184
1,98
1,2063
12,2481
1,2486
1,1644
15,2368
1,2409
1,103
1,1556
24,2410
1,872
1,269
1,2127
1,283
25,2348
1,2066
1,1930
1,2377
1,2494
30,2337
14,2368
1,2527
1,1844
1,2062
1,2421
1,2423
1,2425
1,1228
1,2469
20,2395
1,276
1,2434
1,2435
1,2554
1,2551
1,116
1,2430
1,2512
1,2552
31,2301
22,2301
1,2097
1,271
25,2309
1,1523
1,2080
1,1489
1,2132
1,2176
1,1976
1,2444
1,2445
1,2446
1,2447
1,2449
1,2452
1,2453
10,2364
20,2364
25,2314
1,1490
1,2493
1,46
25,2316
1,2077
1,2455
10,2355
1,2092
20,2355
1,572
1,2206
1,78
1,1827
1,564
25,2342
1,1214
1,1070
1,1258
2,2335
1,40
1,1942
1,2480
5,2390
1,1504
1,1582
1,282
1,2083
1,2072
1,2075
1,1479
1,2074
1,2397
25,2353
25,2323
1,260
1,292
1,217
1,2
1,1939
1,2111
17,2340
5,2375
1,2420
1,2432
25,2369
1,2442
1,2443
1,2440
1,2448
1,2451
1,2471
1,2459
1,2460
2,2321
1,68
1,1371
23,2300
1,1535
1,2464
1,2465
1,2549
1,2463
1,2466
1,1278
1,2406
1,1363
1,2150
25,2310
1,1943
1,2479
1,2593
1,2095
1,252
1,1683
1,3
25,2543
1,179
1,1381
1,228
27,2474
1,2568
1,2570
1,2543
1,2382
1,2475
1,803
24,2367
26,2367
1,2477
6,2483
12,2483
1,2381
31,2296
22,2296
16,2297
27,2298
17,2298
1,2515
1,2576
20,2304
1,565
1,2577
31,2315
27,2315
2,2319
25,2322
1,2498
1,2492
25,2330
11,2330
1,1486
1,2544
1,1470
10,2303
1,1643
1,691
20,2303
1,311
1,2511
1,2484
1,2519
1,780
1,2143
1,49
6,2327
1,2067
1,543
1,2517
1,2129
1,2370
6,2524
5,2520
12,2524
12,2327
1,2193
32,2327
1,1212
1,1805
1,2534
6,2462
12,2462
1,1436
1,2539
1,2412
1,18
1,1968
1,2545
1,2546
1,2556
1,2559
1,1745
1,2402
1,2408
1,1973
1,1898
1,1266
1,1974
1,1213
1,2572
1,1393
1,550
1,2564
1,201
1,1230
1,2182
25,2581
1,2581
1,170
1,2103
1,1919
1,2134
1,1717
1,1716
1,2584
1,1742
1,2199
1,2032
1,2579
1,2583
1,1599
1,150
1,1731
1,1562
1,2507
1,2587
1,1971
1,2091
1,1620
1,85
1,1524
1,215
1,199
1,286
1,2411
1,1985
1,2592
1,1352
1,84
1,97
1,264
1,112
1,1475
1,186
1,69
1,2161
1,1458
1,203
1,1626
1,1427
1,2108
1,104
1,2146
1,305
1,1668
1,2594
1,219
1,24
1,38
1,1850
1,1575
1,118
1,2049
1,1509
1,1947
1,728
1,2589
1,13
1,140
1,2060
1,2079
1,287
1,2404
1,2383
1,2557
1,2069
1,66
1,2514
1,2555
1,2428
1,2429
1,168
1,2586
1,2051
1,2580
1,1868
1,1512
1,14
